Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
hepatitis,stop irritation,consult nearest hospital,stop taking drug,follow up
diabetes,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
cancers,apply calamine,cover area with bandage,,use ice to compress itching
allergies,reduce stress,exercise,eat healthy,get proper sleep
tetanus,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
gingitivis,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
skin rashes,cold baths,anti itch medicine,consult doctor,eat healthy
distemper,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
parvovirus,acetaminophen,consult nearest hospital,follow up,salt baths
chronic kidney disease,lie down,avoid sudden change in body,avoid abrupt head movment,relax
tick fever,lie down on side,check in pulse,drink sugary drinks,consult doctor
gastrointestinal disease,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
